bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Richaun Holmes,9.5,10+,6.25,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Richaun Holmes,4.5,5+,1.3,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Lamar Stevens,2.5,3+,1.25,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Lamar Stevens,4.5,5+,2.35,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Nadir Hifi,19.5,20+,1.53,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Nadir Hifi,24.5,25+,2.7,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Nadir Hifi,29.5,30+,5.5,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Nadir Hifi,14.5,15+,1.12,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Lamar Stevens,11.5,12+,1.71,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Lamar Stevens,15.5,16+,3.5,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Lamar Stevens,9.5,10+,1.33,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Lamar Stevens,7.5,8+,1.12,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Lamar Stevens,13.5,14+,2.4,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,11.5,12+,1.29,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,15.5,16+,1.95,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,13.5,14+,1.54,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,17.5,18+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,9.5,10+,1.12,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,13.5,14+,1.31,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,17.5,18+,2.05,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,19.5,20+,2.8,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,15.5,16+,1.56,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,11.5,12+,1.14,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Kostas Sloukas,0.5,1+,1.28,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Kostas Sloukas,1.5,2+,2.25,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Kostas Sloukas,2.5,3+,4.75,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Jerian Grant,4.5,5+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Jerian Grant,2.5,3+,1.3,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Kostas Sloukas,4.5,5+,1.61,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Kostas Sloukas,2.5,3+,1.1,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Kostas Sloukas,6.5,7+,3.3,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Nadir Hifi,4.5,5+,2.45,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Nadir Hifi,2.5,3+,1.28,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Jerian Grant,15.5,16+,4.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Jerian Grant,7.5,8+,1.16,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Jerian Grant,11.5,12+,1.83,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Jerian Grant,9.5,10+,1.4,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Jerian Grant,13.5,14+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Nadir Hifi,19.5,20+,1.38,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Nadir Hifi,24.5,25+,2.2,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Nadir Hifi,14.5,15+,1.06,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Nadir Hifi,29.5,30+,4.25,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds + Assists,RA,Rebounds + Assists,Nadir Hifi,7.5,8+,2.65,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds + Assists,RA,Rebounds + Assists,Nadir Hifi,9.5,10+,5.5,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds + Assists,RA,Rebounds + Assists,Nadir Hifi,5.5,6+,1.51,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,17.5,18+,2.8,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,13.5,14+,1.56,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,15.5,16+,2.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,11.5,12+,1.29,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,9.5,10+,1.12,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds + Ass,PRA,Points + Rebounds + Ass,Nadir Hifi,19.5,20+,1.22,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds + Ass,PRA,Points + Rebounds + Ass,Nadir Hifi,29.5,30+,3.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds + Ass,PRA,Points + Rebounds + Ass,Nadir Hifi,24.5,25+,1.73,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds + Ass,PRA,Points + Rebounds + Ass,Nadir Hifi,34.5,35+,6.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Rebounds + Ass,PRA,Points + Rebounds + Ass,Nadir Hifi,14.5,15+,1.04,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Assists,AS,Assists,Kostas Sloukas,4.5,,1.6,2.2,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Cedi Osman,10.5,,1.83,1.87,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Assists,AS,Assists,Justin Robinson,4.5,,2.1,1.65,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Justin Robinson,12.5,,1.8,1.91,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Kostas Sloukas,9.5,,1.87,1.83,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Justin Robinson,4.5,5+,2.05,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Justin Robinson,2.5,3+,1.2,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Assists,AS,Assists,Justin Robinson,6.5,7+,4.75,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Justin Robinson,19.5,20+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points + Assists,PA,Points + Assists,Justin Robinson,11.5,12+,1.14,,True
